token_id	norm	pos	tag	lemma
49062	ἐν	P-	-------	ἐν
49063	ἀρχῇ	N-	----DSF	ἀρχή
49064	ἦν	V-	IAI3-S-	εἰμί
49065	ὁ	RA	----NSM	ὁ
49066	λόγος	N-	----NSM	λόγος
49067	καί	C-	-------	καί
49068	ὁ	RA	----NSM	ὁ
49069	λόγος	N-	----NSM	λόγος
49070	ἦν	V-	IAI3-S-	εἰμί
49071	πρός	P-	-------	πρός
49072	τόν	RA	----ASM	ὁ
49073	θεόν	N-	----ASM	θεός
49074	καί	C-	-------	καί
49075	θεός	N-	----NSM	θεός
49076	ἦν	V-	IAI3-S-	εἰμί
49077	ὁ	RA	----NSM	ὁ
49078	λόγος	N-	----NSM	λόγος
49079	οὗτος	RD	----NSM	οὗτος
49080	ἦν	V-	IAI3-S-	εἰμί
49081	ἐν	P-	-------	ἐν
49082	ἀρχῇ	N-	----DSF	ἀρχή
49083	πρός	P-	-------	πρός
49084	τόν	RA	----ASM	ὁ
49085	θεόν	N-	----ASM	θεός
